Canada Standard Zone Charts from Ohio,,
Locate the zone by cross-refrencing the first three ,,
characters of the destination Postal Code in the Postal,,
Range column.,,

Postal Range,,Zone
A0A,A9Z,54
B0A,B9Z,54
C0A,C9Z,54
E0A,E9Z,54
G0A,G0A,51
G0B,G0L,54
G0M,G0S,51
G0T,G0W,54
G0X,G0Z,51
G1A,G2Z,51
G3A,G3K,51
G3L,G4Z,54
G5A,G5A,51
G5B,G5T,54
G5V,G6Z,51
G7A,G8S,54
G8T,G9Z,51
H0A,H0L,51
H0M,H0M,54
H0N,H9Z,51
J0A,J0L,51
J0M,J0M,54
J0N,J0V,51
J0W,J0Z,54
J1A,J4A,51
J4B,J4Z,51
J5A,J8N,51
J8P,J9C,51
J9E,J9E,54
J9G,J9J,51
J9K,J9Z,54
K0A,K0H,51
K0J,K0J,54
K0K,K0Z,51
K1A,K2R,51
K2S,K7T,51
K7V,K8H,54
K8J,L1E,51
L1G,L1Z,51
L2A,L2C,51
L2E,L2W,51
L2X,L3N,51
L3P,L3T,51
L3V,L3W,51
L3X,L4L,51
L4M,L4S,51
L4T,L9T,51
L9V,L9Z,51
M0A,M9Z,51
N0A,N1Z,51
N2A,N2V,51
N2W,N5T,51
N5V,N6N,51
N6P,N8M,51
N8N,N9K,51
N9L,N9Z,51
P0A,P9Z,54
R0A,R2B,54
R2C,R4A,51
R4B,R9Z,54
S0A,S4M,54
S4N,S4Z,51
S5A,S7G,54
S7H,S7V,51
S7W,S9Z,54
T0A,T0B,56
T0C,T0C,53
T0E,T1X,56
T1Y,T3L,53
T3M,T4Z,53
T5A,T6V,53
T6W,T7W,56
T7X,T8N,53
T8P,T8Z,56
T9A,T9E,53
T9G,T9Z,56
V0A,V0L,56
V0M,V0M,53
V0N,V1L,56
V1M,V1M,53
V1N,V2V,56
V2W,V3E,53
V3G,V3G,56
V3H,V7Z,53
V8A,V8K,56
V8L,V9E,53
V9G,V9Z,56
